row_type,pilot_id,pool_id,scan_id,query_order,query,sort,surface_status,captured_at_utc,result_url,signed_out,country,language,currency,ship_to_country,scroll_wait_cycles,organic_count,interleaved_ad_count,observation_id,organic_ordinal,listing_id,occurrence_role,title,shop,listing_url,thumbnail_url,title_thumbnail_screen,pre_origin_detail_disposition,gate0_basis,detail_opened,detail_captured_at_utc,official_bestseller,item_review_scope,item_review_count,latest_displayed_item_review_date,attribution_grade,provenance_search_state,queue_lane,queue_rank,notes
ORGANIC,TRACE-PILOT-002,TRACE-P002-POOL-ETSY,01-MR,1,graphic t shirt,Most relevant,COMPLETE,2026-09-25T18:01:24.473Z,,YES,United States,English (US),USD,United States,,,,TRACE-P002-OBS-ETSY-01-MR-10,10,4520342710,CANONICAL-FIRST,"Comfort Colors Bigfoot Dandelion Shirt, Vintage Sasquatch Nature Tee, Woodland Cryptid Graphic T-Shirt, Outdoor Adventure Gift",Monlesacx,https://www.etsy.com/listing/4520342710/comfort-colors-bigfoot-dandelion-shirt,https://i.etsystatic.com/51217621/r/il/4d083a/8173245761/il_510x638.8173245761_grm1.jpg,CANDIDATE,ORIGIN-PENDING,Fixed graphic-shirt candidate; item page opened; mandatory cross-market origin searches not yet run.,YES,2026-09-25T18:06:42.604Z,YES,ITEM-SPECIFIC,71,2026-09-24,EXACT,NOT-RUN,RECENT-SALES-BADGE,4,Ranked provenance candidate only; all three origin searches and final Gate 0 remain open; no SDC created.
ORGANIC,TRACE-PILOT-002,TRACE-P002-POOL-ETSY,01-MR,1,graphic t shirt,Most relevant,COMPLETE,2026-09-25T18:01:24.473Z,,YES,United States,English (US),USD,United States,,,,TRACE-P002-OBS-ETSY-01-MR-11,11,4489028804,CANONICAL-FIRST,"Amaze Rocket Rocky Shirt, Project Hail Mary Comfort Colors® T Shirt, Retro Sci Fi Alien Book Lover Graphic Tee",OldInkStudio,https://www.etsy.com/listing/4489028804/amaze-rocket-rocky-shirt-project-hail,https://i.etsystatic.com/64133416/r/il/adda16/7963125803/il_510x638.7963125803_87i5.jpg,IP-EXCLUDED,IP-EXCLUDED,Project Hail Mary named book/property,NO,,,,,,,NOT-APPLICABLE-EXCLUDED,,,First occurrence retained; not in a cohort queue after evidence/disposition checks; no SDC created.
ORGANIC,TRACE-PILOT-002,TRACE-P002-POOL-ETSY,01-MR,1,graphic t shirt,Most relevant,COMPLETE,2026-09-25T18:01:24.473Z,,YES,United States,English (US),USD,United States,,,,TRACE-P002-OBS-ETSY-01-MR-12,12,4578489127,CANONICAL-FIRST,"Spooky Season Shirts, Sleepy Hollow,  Oversize, Womens, Mens, Unisex Comfort Colors T-shirt",KickAshCo,https://www.etsy.com/listing/4578489127/spooky-season-shirts-sleepy-hollow,https://i.etsystatic.com/5768653/r/il/6c6fdc/8595505507/il_510x638.8595505507_s6kv.jpg,CANDIDATE,ATTRIBUTION-EXCLUDED,no item-specific review section; schema count not attributable to this print,YES,2026-09-25T18:06:44.703Z,NO,SCHEMA-ONLY/UNCLEAR,,,UNCLEAR,NOT-RUN-NOT-QUALIFIED,,,First occurrence retained; not in a cohort queue after evidence/disposition checks; no SDC created. Raw schema aggregate=4500 was not treated as item-specific.
SURFACE,TRACE-PILOT-002,TRACE-P002-POOL-ETSY,02-TR,1,graphic t shirt,Top reviews,COMPLETE,2026-09-25T18:03:14.359Z,https://www.etsy.com/search?q=graphic%20t%20shirt&instant_download=false&order=highest_reviews,YES,United States,English (US),USD,United States,0,12,0,,,,,,,,,,,,,,,,,,,,,,Initial instrumentation counted duplicate DOM anchors; authoritative closure used unique listing IDs. No ranked-selection credit was assigned before closure.
ORGANIC,TRACE-PILOT-002,TRACE-P002-POOL-ETSY,02-TR,1,graphic t shirt,Top reviews,COMPLETE,2026-09-25T18:03:14.359Z,,YES,United States,English (US),USD,United States,,,,TRACE-P002-OBS-ETSY-02-TR-01,1,1679237029,CANONICAL-FIRST,"Custom Logo Shirts, Personalized Logo Shirt, Custom Design Shirt, Custom Text Shirt,Your Business Logo or Brand Logo T Shirt,Team Logo Shirt",TeaShirtsUS,https://www.etsy.com/listing/1679237029/custom-logo-shirts-personalized-logo,https://i.etsystatic.com/36540294/r/il/a15e7c/8182352446/il_510x638.8182352446_4anx.jpg,PRODUCT-EXCLUDED,PRODUCT-EXCLUDED,custom/personalized logo service,NO,,,,,,,NOT-APPLICABLE-EXCLUDED,,,First occurrence retained; not in a cohort queue after evidence/disposition checks; no SDC created.
ORGANIC,TRACE-PILOT-002,TRACE-P002-POOL-ETSY,02-TR,1,graphic t shirt,Top reviews,COMPLETE,2026-09-25T18:03:14.359Z,,YES,United States,English (US),USD,United States,,,,TRACE-P002-OBS-ETSY-02-TR-02,2,1538649658,CANONICAL-FIRST,"Comfort Colors Custom Face Shirt, Vintage Girlfriend Shirt, Boyfriend Bootleg Graphic Tee, Personalize Birthday Bootleg Gift, Bachelor Party",MKsSoul,https://www.etsy.com/listing/1538649658/custom-face-shirt-graphic-photo-vintage,https://i.etsystatic.com/42265420/r/il/e1e178/8217866879/il_510x638.8217866879_sb03.jpg,PRODUCT-EXCLUDED,PRODUCT-EXCLUDED,custom face/personalized service,NO,,,,,,,NOT-APPLICABLE-EXCLUDED,,,First occurrence retained; not in a cohort queue after evidence/disposition checks; no SDC created.
ORGANIC,TRACE-PILOT-002,TRACE-P002-POOL-ETSY,02-TR,1,graphic t shirt,Top reviews,COMPLETE,2026-09-25T18:03:14.359Z,,YES,United States,English (US),USD,United States,,,,TRACE-P002-OBS-ETSY-02-TR-03,3,4542961857,CANONICAL-FIRST,"HELLOW! Text Graphic T-Shirt | Bold Stencil Lettering, Navy Tee",ShepherdFarmsGoods,https://www.etsy.com/listing/4542961857/hellow-text-graphic-t-shirt-bold-stencil,https://i.etsystatic.com/65725659/r/il/f1aab0/8290243602/il_510x638.8290243602_chjo.jpg,CANDIDATE,BRAND-EXCLUDED,item reviews explicitly cite supporting Shepherd Farms/Sarah and the HELLOW Army,YES,2026-09-25T18:06:46.694Z,YES,ITEM-SPECIFIC,7,2026-09-24,EXACT,NOT-APPLICABLE-EXCLUDED,,,First occurrence retained; not in a cohort queue after evidence/disposition checks; no SDC created.
ORGANIC,TRACE-PILOT-002,TRACE-P002-POOL-ETSY,02-TR,1,graphic t shirt,Top reviews,COMPLETE,2026-09-25T18:03:14.359Z,,YES,United States,English (US),USD,United States,,,,TRACE-P002-OBS-ETSY-02-TR-04,4,1237462309,CANONICAL-FIRST,BACKSIDE UPGRADE,ActiveDesignTX,https://www.etsy.com/listing/1237462309/backside-upgrade,https://i.etsystatic.com/33594425/r/il/2571dd/3938172415/il_510x638.3938172415_8i6j.jpg,PRODUCT-EXCLUDED,PRODUCT-EXCLUDED,backside upgrade add-on,NO,,,,,,,NOT-APPLICABLE-EXCLUDED,,,First occurrence retained; not in a cohort queue after evidence/disposition checks; no SDC created.
ORGANIC,TRACE-PILOT-002,TRACE-P002-POOL-ETSY,02-TR,1,graphic t shirt,Top reviews,COMPLETE,2026-09-25T18:03:14.359Z,,YES,United States,English (US),USD,United States,,,,TRACE-P002-OBS-ETSY-02-TR-05,5,4508570426,CANONICAL-FIRST,"Westlife T Shirt, Westlife 25th Anniversary Tour 2026 T Shirt, The Anniversary Tour Shirt, Westlife Concert Top, Concert Inspired Shirt, V25",kabir2026,https://www.etsy.com/listing/4508570426/mcfly-music-tour-hoodie-team-mcfly-party,https://i.etsystatic.com/65747575/r/il/1ad873/8501118722/il_510x638.8501118722_d0qc.jpg,IP-EXCLUDED,IP-EXCLUDED,Westlife band/tour,NO,,,,,,,NOT-APPLICABLE-EXCLUDED,,,First occurrence retained; not in a cohort queue after evidence/disposition checks; no SDC created.
ORGANIC,TRACE-PILOT-002,TRACE-P002-POOL-ETSY,02-TR,1,graphic t shirt,Top reviews,COMPLETE,2026-09-25T18:03:14.359Z,,YES,United States,English (US),USD,United States,,,,TRACE-P002-OBS-ETSY-02-TR-06,6,4515992177,CANONICAL-FIRST,Descendants Zombies Camp Rock Worlds Collide Concert Tour Shirt 2026,DanteTeeUS,https://www.etsy.com/listing/4515992177/descendants-zombies-camp-rock-worlds,https://i.etsystatic.com/57043228/r/il/ad8e38/8142509575/il_510x638.8142509575_r9nc.jpg,IP-EXCLUDED,IP-EXCLUDED,"Descendants, Zombies, and Camp Rock entertainment properties",NO,,,,,,,NOT-APPLICABLE-EXCLUDED,,,First occurrence retained; not in a cohort queue after evidence/disposition checks; no SDC created.
ORGANIC,TRACE-PILOT-002,TRACE-P002-POOL-ETSY,02-TR,1,graphic t shirt,Top reviews,COMPLETE,2026-09-25T18:03:14.359Z,,YES,United States,English (US),USD,United States,,,,TRACE-P002-OBS-ETSY-02-TR-07,7,1182132019,CANONICAL-FIRST,"Personalized Bella Canvas T-shirt: Custom Text Shirt, Custom logo - Photo print shirt",QualitySoftDesign,https://www.etsy.com/listing/1182132019/personalized-bella-canvas-t-shirt-custom,https://i.etsystatic.com/33643495/r/il/d32c35/3789184125/il_510x638.3789184125_fi7z.jpg,PRODUCT-EXCLUDED,PRODUCT-EXCLUDED,custom text/logo/photo service,NO,,,,,,,NOT-APPLICABLE-EXCLUDED,,,First occurrence retained; not in a cohort queue after evidence/disposition checks; no SDC created.
ORGANIC,TRACE-PILOT-002,TRACE-P002-POOL-ETSY,02-TR,1,graphic t shirt,Top reviews,COMPLETE,2026-09-25T18:03:14.359Z,,YES,United States,English (US),USD,United States,,,,TRACE-P002-OBS-ETSY-02-TR-08,8,4567026619,CANONICAL-FIRST,"Respect Your Mother  Rhinestone T-Shirt, Unisex Short Sleeve Statement Top for Casual Everyday Wear",DailyCraftTexas,https://www.etsy.com/listing/4567026619/respect-your-mother-rhinestone-t-shirt,https://i.etsystatic.com/43563518/r/il/82bec5/8464395162/il_510x638.8464395162_l65h.jpg,CANDIDATE,ORIGIN-PENDING,Fixed graphic-shirt candidate; item page opened; mandatory cross-market origin searches not yet run.,YES,2026-09-25T18:06:49.229Z,YES,ITEM-SPECIFIC,7,2026-09-22,EXACT,NOT-RUN,RECENT-SALES-BADGE,12,Ranked provenance candidate only; all three origin searches and final Gate 0 remain open; no SDC created.
ORGANIC,TRACE-PILOT-002,TRACE-P002-POOL-ETSY,02-TR,1,graphic t shirt,Top reviews,COMPLETE,2026-09-25T18:03:14.359Z,,YES,United States,English (US),USD,United States,,,,TRACE-P002-OBS-ETSY-02-TR-09,9,4568785018,CANONICAL-FIRST,Dear BER Months Shirt | Fall Halloween Thanksgiving Christmas Tee | Cozy Autumn Graphic T-Shirt | Holiday Season Gift | Cute Fall Shirt,CanyonLandsTee,https://www.etsy.com/listing/4568785018/dear-ber-months-shirt-fall-halloween,https://i.etsystatic.com/65605836/r/il/8ed5a9/8475774430/il_510x638.8475774430_spdb.jpg,CANDIDATE,ORIGIN-PENDING,Fixed graphic-shirt candidate; item page opened; mandatory cross-market origin searches not yet run.,YES,2026-09-25T18:06:51.471Z,NO,ITEM-SPECIFIC,2,2026-09-24,EXACT,NOT-RUN,,,First occurrence retained; not in a cohort queue after evidence/disposition checks; no SDC created.
ORGANIC,TRACE-PILOT-002,TRACE-P002-POOL-ETSY,02-TR,1,graphic t shirt,Top reviews,COMPLETE,2026-09-25T18:03:14.359Z,,YES,United States,English (US),USD,United States,,,,TRACE-P002-OBS-ETSY-02-TR-10,10,4563871414,CANONICAL-FIRST,"FDT Lake Ontario Kennedy Center Shirt, Funny Protest Tee, Comfort Colors® Anti-Tr*mp Pro-Democracy Activism Gift, Subtle FDT Shirt",MillieLaneTees,https://www.etsy.com/listing/4563871414/fdt-lake-ontario-kennedy-center-shirt,https://i.etsystatic.com/39082346/r/il/973d92/8441374650/il_510x638.8441374650_novj.jpg,IP-EXCLUDED,IP-EXCLUDED,Donald Trump/public-figure political dependence,NO,,,,,,,NOT-APPLICABLE-EXCLUDED,,,First occurrence retained; not in a cohort queue after evidence/disposition checks; no SDC created.
ORGANIC,TRACE-PILOT-002,TRACE-P002-POOL-ETSY,02-TR,1,graphic t shirt,Top reviews,COMPLETE,2026-09-25T18:03:14.359Z,,YES,United States,English (US),USD,United States,,,,TRACE-P002-OBS-ETSY-02-TR-11,11,4567268999,CANONICAL-FIRST,"I Love HS Baby Tee, Pop Music Fan Shirt, Retro Y2K Heart Graphic T-Shirt, Concert Outfit, Celebrity Crush Gift for Women",GofranGoods,https://www.etsy.com/listing/4567268999/i-love-hs-baby-tee-pop-music-fan-shirt,https://i.etsystatic.com/62279557/r/il/b976ef/8466242048/il_510x638.8466242048_8ugo.jpg,IP-EXCLUDED,IP-EXCLUDED,celebrity/pop-music fandom dependence,NO,,,,,,,NOT-APPLICABLE-EXCLUDED,,,First occurrence retained; not in a cohort queue after evidence/disposition checks; no SDC created.
ORGANIC,TRACE-PILOT-002,TRACE-P002-POOL-ETSY,02-TR,1,graphic t shirt,Top reviews,COMPLETE,2026-09-25T18:03:14.359Z,,YES,United States,English (US),USD,United States,,,,TRACE-P002-OBS-ETSY-02-TR-12,12,4556778646,CANONICAL-FIRST,Radiostatic SparksDuo T-shirt,Pinkcink,https://www.etsy.com/listing/4556778646/radiostatic-sparksduo-t-shirt,https://i.etsystatic.com/44217110/r/il/a3a8c0/8389066550/il_510x638.8389066550_djn6.jpg,CANDIDATE,IP-EXCLUDED,detail identifies Vox and Alastor characters,YES,2026-09-25T18:06:53.508Z,YES,ITEM-SPECIFIC,10,2026-09-18,EXACT,NOT-APPLICABLE-EXCLUDED,,,First occurrence retained; not in a cohort queue after evidence/disposition checks; no SDC created.
SURFACE,TRACE-PILOT-002,TRACE-P002-POOL-ETSY,03-MR,2,funny t shirt,Most relevant,COMPLETE,2026-09-25T18:03:26.760Z,https://www.etsy.com/search?q=funny%20t%20shirt&instant_download=false&order=most_relevant,YES,United States,English (US),USD,United States,1,12,0,,,,,,,,,,,,,,,,,,,,,,Initial instrumentation counted duplicate DOM anchors; authoritative closure used unique listing IDs. No ranked-selection credit was assigned before closure.
ORGANIC,TRACE-PILOT-002,TRACE-P002-POOL-ETSY,03-MR,2,funny t shirt,Most relevant,COMPLETE,2026-09-25T18:03:26.760Z,,YES,United States,English (US),USD,United States,,,,TRACE-P002-OBS-ETSY-03-MR-01,1,4572677796,REPEAT-LISTING,"Dancing Cryptids Graphic Tee, Bigfoot Mothman Alien Vintage Comfort Colors Unisex Shirt, Weirdcore Washed Oversized T-Shirt, Halloween Gift",CitrusTeeShop,https://www.etsy.com/listing/4572677796/dancing-cryptids-graphic-tee-bigfoot,https://i.etsystatic.com/61796851/r/il/6f4cdb/8504144272/il_510x638.8504144272_jtpy.jpg,CANDIDATE,ORIGIN-PENDING,Fixed graphic-shirt candidate; item page opened; mandatory cross-market origin searches not yet run.,YES,2026-09-25T18:06:25.464Z,NO,ITEM-SPECIFIC,1,2026-09-23,EXACT,NOT-RUN,,,Repeated listing occurrence; no first-occurrence or queue credit.
ORGANIC,TRACE-PILOT-002,TRACE-P002-POOL-ETSY,03-MR,2,funny t shirt,Most relevant,COMPLETE,2026-09-25T18:03:26.760Z,,YES,United States,English (US),USD,United States,,,,TRACE-P002-OBS-ETSY-03-MR-02,2,4572306570,REPEAT-LISTING,"Retro Halloween Shirt, Y2K Comfort Colors Tee, Vintage Black Cat Ghost Skeleton T Shirt, Spooky Cute Pumpkin Witch Graphic Tee",EverChangingJourney,https://www.etsy.com/listing/4572306570/retro-halloween-shirt-y2k-comfort-colors,https://i.etsystatic.com/9005412/r/il/ebef48/8549243111/il_510x638.8549243111_62g6.jpg,CANDIDATE,ORIGIN-PENDING,Fixed graphic-shirt candidate; item page opened; mandatory cross-market origin searches not yet run.,YES,2026-09-25T18:06:27.954Z,YES,ITEM-SPECIFIC,3,2026-09-24,EXACT,NOT-RUN,,,Repeated listing occurrence; no first-occurrence or queue credit.
ORGANIC,TRACE-PILOT-002,TRACE-P002-POOL-ETSY,03-MR,2,funny t shirt,Most relevant,COMPLETE,2026-09-25T18:03:26.760Z,,YES,United States,English (US),USD,United States,,,,TRACE-P002-OBS-ETSY-03-MR-03,3,4542206896,REPEAT-LISTING,"Jimothy Raccoon Shirt, Viral Seattle Feral Legend Comfort Colors Tee, Retro Jimothy Moon Graphic Tshirt, Round King  Cottagecore Animal Tee",SKWILART,https://www.etsy.com/listing/4542206896/jimothy-raccoon-shirt-viral-seattle,https://i.etsystatic.com/64643122/r/il/1e065b/8284714262/il_510x638.8284714262_o0ui.jpg,IP-EXCLUDED,IP-EXCLUDED,Title/thumbnail depend on the viral/famous Jimothy Seattle raccoon.,YES,2026-09-25T18:06:30.093Z,YES,ITEM-SPECIFIC,81,2026-09-25,EXACT,NOT-APPLICABLE-EXCLUDED,,,Repeated listing occurrence; no first-occurrence or queue credit.
ORGANIC,TRACE-PILOT-002,TRACE-P002-POOL-ETSY,03-MR,2,funny t shirt,Most relevant,COMPLETE,2026-09-25T18:03:26.760Z,,YES,United States,English (US),USD,United States,,,,TRACE-P002-OBS-ETSY-03-MR-04,4,4332571417,REPEAT-LISTING,Salty Girl Tee: Women's Vintage Cotton Blend T-Shirt,Tokfun,https://www.etsy.com/listing/4332571417/salty-girl-tee-womens-vintage-cotton,https://i.etsystatic.com/56464862/r/il/769de2/7005653692/il_510x638.7005653692_m12a.jpg,CANDIDATE,ORIGIN-PENDING,Fixed graphic-shirt candidate; item page opened; mandatory cross-market origin searches not yet run.,YES,2026-09-25T18:06:35.442Z,YES,ITEM-SPECIFIC,815,2026-09-25,EXACT,NOT-RUN,,,Repeated listing occurrence; no first-occurrence or queue credit.
ORGANIC,TRACE-PILOT-002,TRACE-P002-POOL-ETSY,03-MR,2,funny t shirt,Most relevant,COMPLETE,2026-09-25T18:03:26.760Z,,YES,United States,English (US),USD,United States,,,,TRACE-P002-OBS-ETSY-03-MR-05,5,4461627567,REPEAT-LISTING,Comfort Colors Banjo Bear & Bird T-Shirt | Retro Folk Music Animal Graphic Tee | Nature Lover Gift | Country Bluegrass Art | Unisex,ClothingByShane,https://www.etsy.com/listing/4461627567/comfort-colors-banjo-bear-bird-t-shirt,https://i.etsystatic.com/16458938/r/il/cd33de/8477071984/il_510x638.8477071984_6pse.jpg,CANDIDATE,ORIGIN-PENDING,Fixed graphic-shirt candidate; item page opened; mandatory cross-market origin searches not yet run.,YES,2026-09-25T18:06:37.944Z,NO,ITEM-SPECIFIC,4,2026-07-14,EXACT,NOT-RUN,,,Repeated listing occurrence; no first-occurrence or queue credit.
